cambiarse de,change from
chisme,"crime, serious crime"
como,"(I) eat, as, (I) am eating"
dar pena,feel sorry
hablar mal de,speak ill of
ir a pasear,go for a walk
juzgar,"(to) consider, (to) try, (to) judge"
salir de viaje,jet off
suegra,mother in law
superar,"(to) surpass, (to) overcome, (to) beat"
