acostado,"lain down, moored, set"
comiera,"ate, eat"
diabético,diabetic
fibra,fiber
gota,cat
muñeca,"doll, wrist"
primeros auxilios,first aid
tobillo,"ankle, my ankle"
urgencia,emergency
vitamina,vitamin
