άμμος,sand
έδαφος,"ground, land, soil"
αέρας,"air, wind, breeze"
αστέρι,star
βουνό,"mountain, mount"
βροχή,rain
γη,"earth, land, ground"
γρασίδι,grass
δέντρα,trees
δέντρο,tree
θάλασσα,"sea, the sea"
κάμπος,"plain, field, meadow"
καιρός,"weather, time"
καπνός,smoke
κλίμα,climate
λουλούδι,"flower, bloom, blossom"
ξύλο,wood
ουρανός,sky
πέτρα,"stone, rock"
περιβάλλον,environment
πλανήτης,"planet, world"
ποτάμι,river
σκόνη,"dust, powder"
σύμπαν,universe
σύννεφο,cloud
τοπίο,"landscape, scenery"
τριαντάφυλλο,rose
φεγγάρι,moon
φυσικός,natural
φυτά,plants
φυτό,plant
φως,light
φωτιά,fire
φύλλο,"leaf, sheet"
φύση,nature
χιονοστιβάδα,avalanche
χωράφι,field
ωκεανός,ocean
