αέριο,"gas, a gas, gaseous"
αλουμίνιο,"aluminum, aluminum/aluminium, aluminium"
ασήμι,silver
γυαλί,glass
διαμάντι,diamond
κεραμικό,ceramic
κρύσταλλος,crystal
μέταλλο,metal
μόριο,molecule
ξύλινο,wooden
ξύλο,wood
ορυκτό,"mineral, ore"
πλαστικό,"plastic, made of plastic"
πυρίτιο,silicon
ρουμπίνι,ruby
σίδηρος,iron
σμαράγδι,emerald
στερεό,solid
τσιμέντο,"cement, concrete"
υγρό,liquid
υλικό,material
χάλκινο,copper
χαλκός,"copper, cuprum"
χρυσός,gold
