αίτημα φιλίας,a friend request
ανάρτηση,suspension
ειδοποίηση,notification
ενεργός,active
κοινοποίηση,share
κοινοποιώ,"shared, (they) shared"
κοινωνικά δίκτυα,Social Networks
λογαριασμός,"account, bill, check"
μέσα κοινωνικής δικτύωσης,social media
χρήστης,user
