είχα έρθει,I had come
είχα ακούσει,I had heard
είχα μαγειρέψει,have cooked
είχα μιλήσει,I had spoken
είχα νικήσει,I had won
είχα πάει,had been
είχα παίξει,I played
είχα
                    προσπαθήσει,I had tried
είχα φάει,I had eaten
είχε γίνει,"had become, had happened"
είχε κάνει,had done
