επιταγή,"check, cheque, draft"
κέρδος,benefit
κόστος,"cost, price, rate"
νόμισμα,"currency, coin"
οικονομία,economy
οικονομικός,cheap
πιστωτική κάρτα,"credit card, a credit card"
πληρωμές,"paying, payment"
φόρος,tax
χρήμα,money
