αισιόδοξος,"optimistic, optimist"
είδος,"kind, category, sort"
εμπειρία,experience
ηθική,"morality, continence, ethics"
θεωρία,theory
λογική,"logic, rationale / rationality, reasoning"
μύθος,myth
νόημα,"meaning, point, sense"
συναισθηματικός,emotional
συνείδηση,consciousness
