agua,Water
bebe,baby
bebes,babies
bebo,drink
come,eat
comes,you eat
como,What
el,the
ella,she
eres,are you
es,is
hombre,men
la,the
leche,milk
manzana,apple
manzanas,apples
mujer,woman
niña,girl
niño,infant
pan,bread
soy,I am
tú,your
un,a
una,a
yo,I
él,the
