madre,mom
padre,dad
inteligente,intelligent
elegante,elegant
tiene,he has
carro,car
casa,house
hermano,brother
hermana,sister
muy,very
perro,dog
gato,cat
bonito,pretty (m)
grande,big
esposo,husband
esposa,wife
apartamento,apartment
abuelo,grandfather
abuela,grandmother
perfecto,perfect
familia,family
bicicleta,bicycle
vivo,I live
tienes,you have
hijo,son (English)
hija,daughter
y,and
interesante,interesting
