cuántos años,how old
veintiún,21 (m. adj)
veintiuno,21 (counting)
veintidós,22
jóvenes,young (pl)
señoritas,young ladies
adulto,adult
veintitrés,23
veinticuatro,24
jugos,juices
veinticinco,25
sed,thirsty
pizza,pizza
hambre,hungry
calor,hot
frío,cold
abrigo,coat
puesto,I have on
largo,long
sueño,dream
ganas,you win
miedo,scared
de verdad,really (truly)
bailar,to dance
animal,animal
