nuestro,our
nuestros,ours
se llaman,their names are
padres,fathers
familias,families
hermanos,brothers
simpático,nice
le gusta,he likes
le encanta,he loves
baloncesto,basketball
deportes,sports
nos gusta,we like
nos encanta,we love
conciertos,concerts
escuchar,to listen
piano,piano
tocar,to play
guitarra,guitar
películas,movies
mayor,mayor
menor,younger
toca,he plays
marido,husband
