almuerzo,lunch
antes,before
cada,every
cena,dinner
cosa,thing
cosas,things
demasiado,too much
desayuno,breakfast
después,after
diario,newspaper
difíciles,difficult (pl)
ducharse,to shower
fáciles,easy (pl)
hace,she makes
hacemos,we make
hacen,they make
hacer, to make
haces,you make
hago,I make
me pongo,I put on
ponerse,to put on
sale,she leaves
sales,you leave
salgo,I leave
se pone,she puts on
solo,only
tarde,"late, afternoon, evening"
tarea,homework
te pones,you put on
temprano,early
toman,they take
tomo,I take
