camarero,waiter
quisiera,(I) would like
frijol,bean
cerveza,beer
menú,menu
puede traer,can you bring
cuchara,spoon
cuchillo,knife
tenedor,fork
plato,plate
bebida,drink
blanca,white
tinto,red
otro,another
botella,bottle
sopa,soup
patata,potato
frito,fried
pago,I pay
postre,dessert
