habla,she speaks
francés,French
estudia,she studies
hablar,to talk
trabajo,I work
trabajas,you work
trabaja,she works
oficina,office
fábrica,factory
trabajar,to work
quién,who
comer,to eat
beber,to drink
vino,wine
vives,you live
vive,she lives
vivir,to live
Inglaterra,England
Francia,France
Europa,Europe
