hay,there is (there are)
cocina,kitchen
nevera,fridge
dormitorio,bedroom
cama,bed
sala,living room
moderna,modern
tenemos,we have
habitación,bedroom (2)
ventana,window
tienen,they have
reloj (2),clock
estantería,bookshelf
compra,he buys
sillas,chairs
sobre,on top of
pintar,to paint
limpiar,to clean
jardín,garden
planta,plant (n.)
teléfonos,phones
celulares,cellphones
limpia,he cleans
debajo,under
